fiscal_year,segment,revenue_musd,operating_income_musd,operating_margin,revenue_growth,growth_3yr_avg
2019,Intelligent Cloud,38985,13920,0.35706040784917276,,0.20631855946170452
2020,Intelligent Cloud,48366,18324,0.3788611834759955,0.24063101192766445,0.20631855946170452
2021,Intelligent Cloud,60080,26126,0.43485352862849536,0.24219493032295425,0.20631855946170452
2022,Intelligent Cloud,74965,33203,0.4429133595677983,0.2477529960053262,0.20631855946170452
2023,Intelligent Cloud,87907,37884,0.4309554415461795,0.1726405655972787,0.20631855946170452
2024,Intelligent Cloud,105362,49584,0.47060610087128185,0.19856211678250868,0.20631855946170452
2019,More Personal Computing,45698,12820,0.2805374414635214,,0.05152570725012114
2020,More Personal Computing,48251,15911,0.3297548237342231,0.055866777539498536,0.05152570725012114
2021,More Personal Computing,54093,19439,0.359362579261642,0.12107521087645856,0.05152570725012114
2022,More Personal Computing,59941,20490,0.34183613886988873,0.10811010666814558,0.05152570725012114
2023,More Personal Computing,54734,16450,0.3005444513465122,-0.08686875427503715,0.05152570725012114
2024,More Personal Computing,62032,19309,0.31127482589631156,0.133335769357255,0.05152570725012114
2019,Productivity & Business Processes,41160,16219,0.39404761904761904,,0.13018836810427303
2020,Productivity & Business Processes,46398,18724,0.40355187723608776,0.12725947521865888,0.13018836810427303
2021,Productivity & Business Processes,53915,24351,0.4516553834739868,0.1620112935902409,0.13018836810427303
2022,Productivity & Business Processes,63364,29690,0.46856259074553375,0.17525734953167027,0.13018836810427303
2023,Productivity & Business Processes,69274,34189,0.49353292721656034,0.09327062685436527,0.13018836810427303
2024,Productivity & Business Processes,77728,40540,0.5215623713462331,0.12203712792678356,0.13018836810427303
